name,artist,album,duration
Love Yourself,Justin Bieber,Purpose,03:53
Come Around Me,Justin Bieber,Changes,03:20
STAY (Explicit),The Kid LAROI,STAY (Explicit),02:21
Peaches (Remix|Explicit),Justin Bieber,Peaches (Remix) [Explicit],03:49
Baby,Justin Bieber,Baby,03:36
What Do You Mean?,Justin Bieber,Purpose,03:25
Peaches (Explicit),Justin Bieber,Justice (中国豪华特别版),03:18
Intentions,Justin Bieber,Changes,03:32
"10,000 Hours",Dan + Shay,"10,000 Hours",02:47
Despacito (Remix),Luis Fonsi,Man Crush Monday (Explicit),03:48
