_id,album,artist,duration,name
6456332238f2378a5d51bdfa,无法长大,赵雷,04:52,朵
6456332238f2378a5d51bdfb,吉姆餐厅,赵雷,05:13,理想
6456332238f2378a5d51bdfc,署前街少年,赵雷,05:00,程艾影
6456332238f2378a5d51bdfd,吉姆餐厅,赵雷,05:08,少年锦时
6456332238f2378a5d51bdfe,改变自己,王力宏,04:07,我们的歌
6456332238f2378a5d51bdff,盖世英雄,王力宏,03:44,大城小爱
6456332238f2378a5d51be00,天地龙鳞,王力宏,03:16,天地龙鳞
6456332238f2378a5d51be01,不可思议,王力宏,04:54,Can You Feel My World
6456332238f2378a5d51be02,十八般武艺,王力宏,04:11,需要人陪
6456332238f2378a5d51be03,盖世英雄,王力宏,03:47,花田错
6456332238f2378a5d51be04,A.I. 爱,王力宏,04:06,缘分一道桥
6456332238f2378a5d51be05,改变自己,王力宏,03:14,改变自己
6456332238f2378a5d51be06,十八般武艺,王力宏,04:38,你不知道的事
6456332238f2378a5d51be07,心·跳,王力宏,04:23,心跳
6456332238f2378a5d51be08,乐与怒,BEYOND,05:26,海阔天空
6456332238f2378a5d51be09,命运派对 - BEYOND,BEYOND,04:58,光辉岁月
6456332238f2378a5d51be0a,Control,BEYOND,05:27,"灰色轨迹 (电影""天若有情""歌曲)"
6456332238f2378a5d51be0b,BEYOND IV,BEYOND,04:35,真的爱你
6456332238f2378a5d51be0c,Recognition,BEYOND,04:14,"不再犹豫 (电影""Beyond 日记""插曲)"
6456332238f2378a5d51be0d,Deliberate 犹豫 (Remastered 2020),BEYOND,04:12,不再犹豫
6456332238f2378a5d51be0e,Deliberate 犹豫 (Remastered 2020),BEYOND,04:15,谁伴我闯荡
6456332238f2378a5d51be0f,BTB现代舞台- Beyond,BEYOND,04:19,冷雨夜
6456332238f2378a5d51be10,精选辑 ENCORE,BEYOND,04:22,大地 (国语版)
6456332238f2378a5d51be11,秘密警察,BEYOND,04:21,大地 (粤语)
6456332238f2378a5d51be12,长月烬明 电视剧原声专辑,黄霄雲,04:44,要不然我们就这样一万年
6456332238f2378a5d51be13,星辰大海,黄霄雲,03:27,星辰大海
6456332238f2378a5d51be14,带我去很远地方,黄霄雲,04:09,带我去很远地方
6456332238f2378a5d51be15,蝴蝶夫人,黄霄雲,03:25,蝴蝶夫人
6456332238f2378a5d51be16,梦想的声音第三季 纯享版,黄霄雲,03:05,左手指月 (纯享版)
6456332238f2378a5d51be17,歌手·当打之年 第5期,黄霄雲,04:55,连名带姓 (Live)
6456332238f2378a5d51be18,打开,黄霄雲,05:32,烟火里的尘埃
6456332238f2378a5d51be19,梦想的声音第三季 第9期,黄霄雲,03:05,打开
6456332238f2378a5d51be1a,歌手·当打之年 第11期,黄霄雲,05:23,左手指月 (Live)
6456332238f2378a5d51be1b,花开忘忧,周深,04:12,花开忘忧
6456332238f2378a5d51be1c,若梦,周深,04:04,若梦
6456332238f2378a5d51be1d,光亮,周深,04:48,光亮
6456332238f2378a5d51be1e,铃芽之旅,周深,03:57,铃芽之旅
6456332238f2378a5d51be1f,Heart Of Peace,ZHANGYE,03:46,Heart Of Peace
6456332238f2378a5d51be20,大鱼,周深,05:13,大鱼
6456332238f2378a5d51be21,起风了,周深,05:11,起风了
6456332238f2378a5d51be22,一期一会《未闻花名》,周深,05:51,如愿 (Live)
6456332238f2378a5d51be23,有我,周深,04:03,一期一会《未闻花名》
6456332238f2378a5d51be24,带我去找夜生活,告五人,04:59,带我去找夜生活
6456332238f2378a5d51be25,我肯定在几百年前就说过爱你,告五人,04:52,爱人错过
